MESO_,codigo,MES,ANO,PRECIPITACAO
Fora do Estado,1-1,1,98-99,"137,8733"
Fora do Estado,2-1,1,98-99,"126,7572"
Fora do Estado,5-1,1,98-99,"124,9564"
Sertão Pernambucano,6-1,1,98-99,"162,2302"
Fora do Estado,7-1,1,98-99,"177,3308"
Fora do Estado,8-1,1,98-99,"181,9789"
Fora do Estado,9-1,1,98-99,"176,7739"
Fora do Estado,10-1,1,98-99,"164,6913"
Fora do Estado,11-1,1,98-99,"155,7006"
Fora do Estado,12-1,1,98-99,"141,5091"
Fora do Estado,13-1,1,98-99,"121,7345"
Fora do Estado,14-1,1,98-99,"75,4209"
Fora do Estado,15-1,1,98-99,"61,0381"
Sertão Pernambucano,16-1,1,98-99,"50,5879"
Sertão Pernambucano,17-1,1,98-99,"44,3383"
Fora do Estado,18-1,1,98-99,"23,1497"
Fora do Estado,19-1,1,98-99,"15,6500"
Fora do Estado,20-1,1,98-99,"13,2190"
Fora do Estado,21-1,1,98-99,"16,4189"
Fora do Estado,22-1,1,98-99,"31,6131"
Fora do Estado,23-1,1,98-99,"37,3909"
Fora do Estado,24-1,1,98-99,"47,1256"
Fora do Estado,25-1,1,98-99,"57,9078"
Fora do Estado,26-1,1,98-99,"86,0689"
Fora do Estado,1-2,1,98-99,"123,2744"
Sertão Pernambucano,3-2,1,98-99,"104,8308"
Sertão Pernambucano,4-2,1,98-99,"109,4554"
Sertão Pernambucano,5-2,1,98-99,"121,5845"
Sertão Pernambucano,6-2,1,98-99,"157,7399"
Sertão Pernambucano,7-2,1,98-99,"170,6444"
Sertão Pernambucano,8-2,1,98-99,"173,4040"
Fora do Estado,9-2,1,98-99,"167,9831"
Fora do Estado,10-2,1,98-99,"157,5769"
Fora do Estado,11-2,1,98-99,"149,0773"
Fora do Estado,12-2,1,98-99,"134,7899"
Fora do Estado,13-2,1,98-99,"113,0298"
Fora do Estado,14-2,1,98-99,"67,3977"
Sertão Pernambucano,15-2,1,98-99,"52,4277"
Sertão Pernambucano,16-2,1,98-99,"42,3251"
Fora do Estado,17-2,1,98-99,"34,4000"
Fora do Estado,18-2,1,98-99,"18,8497"
Fora do Estado,20-2,1,98-99,"10,9848"
Fora do Estado,21-2,1,98-99,"14,7844"
Fora do Estado,22-2,1,98-99,"29,8633"
Fora do Estado,23-2,1,98-99,"35,7921"
Mata Pernambucana,24-2,1,98-99,"44,5530"
Mata Pernambucana,25-2,1,98-99,"55,3197"
Mata Pernambucana,26-2,1,98-99,"81,6528"
Fora do Estado,2-3,1,98-99,"97,3243"
Fora do Estado,3-3,1,98-99,"91,4089"
Sertão Pernambucano,4-3,1,98-99,"95,5933"
Sertão Pernambucano,6-3,1,98-99,"143,0244"
Sertão Pernambucano,7-3,1,98-99,"154,0987"
Sertão Pernambucano,8-3,1,98-99,"153,0599"
Sertão Pernambucano,9-3,1,98-99,"146,9085"
Sertão Pernambucano,10-3,1,98-99,"137,6270"
Sertão Pernambucano,11-3,1,98-99,"131,9856"
Sertão Pernambucano,12-3,1,98-99,"118,9053"
Sertão Pernambucano,13-3,1,98-99,"100,4731"
Sertão Pernambucano,14-3,1,98-99,"60,2789"
Sertão Pernambucano,15-3,1,98-99,"46,4338"
Sertão Pernambucano,16-3,1,98-99,"38,1269"
Fora do Estado,17-3,1,98-99,"30,3350"
Fora do Estado,18-3,1,98-99,"17,3803"
Agreste Pernambucano,21-3,1,98-99,"16,0403"
Agreste Pernambucano,22-3,1,98-99,"32,2344"
Agreste Pernambucano,23-3,1,98-99,"39,0676"
Agreste Pernambucano,24-3,1,98-99,"47,4478"
Mata Pernambucana,25-3,1,98-99,"56,6659"
Metropolitana do Recife,26-3,1,98-99,"81,3508"
Fora do Estado,1-4,1,98-99,"92,3299"
Fora do Estado,2-4,1,98-99,"75,0911"
Fora do Estado,3-4,1,98-99,"69,0478"
Sertão Pernambucano,4-4,1,98-99,"74,3410"
Sertão Pernambucano,5-4,1,98-99,"81,0281"
Sertão Pernambucano,7-4,1,98-99,"119,1056"
São Francisco Pernambucano,8-4,1,98-99,"120,6679"
Sertão Pernambucano,9-4,1,98-99,"116,6846"
Sertão Pernambucano,10-4,1,98-99,"106,5219"
Sertão Pernambucano,11-4,1,98-99,"103,2358"
Sertão Pernambucano,12-4,1,98-99,"94,1296"
Sertão Pernambucano,13-4,1,98-99,"80,0268"
Sertão Pernambucano,14-4,1,98-99,"55,2552"
Sertão Pernambucano,15-4,1,98-99,"43,2287"
Sertão Pernambucano,16-4,1,98-99,"34,7415"
Fora do Estado,17-4,1,98-99,"28,5121"
Fora do Estado,18-4,1,98-99,"22,8387"
Agreste Pernambucano,20-4,1,98-99,"20,3035"
Agreste Pernambucano,21-4,1,98-99,"28,2689"
Agreste Pernambucano,22-4,1,98-99,"46,3294"
Agreste Pernambucano,23-4,1,98-99,"55,6938"
Mata Pernambucana,24-4,1,98-99,"65,6108"
Metropolitana do Recife,25-4,1,98-99,"75,9976"
Fora do Estado,26-4,1,98-99,"81,9633"
Fora do Estado,1-5,1,98-99,"76,5410"
São Francisco Pernambucano,2-5,1,98-99,"63,0231"
São Francisco Pernambucano,3-5,1,98-99,"60,8299"
Sertão Pernambucano,4-5,1,98-99,"65,4340"
São Francisco Pernambucano,5-5,1,98-99,"69,9110"
São Francisco Pernambucano,6-5,1,98-99,"92,2846"
São Francisco Pernambucano,7-5,1,98-99,"102,0702"
São Francisco Pernambucano,8-5,1,98-99,"104,4247"
São Francisco Pernambucano,9-5,1,98-99,"98,5349"
São Francisco Pernambucano,10-5,1,98-99,"89,0682"
São Francisco Pernambucano,11-5,1,98-99,"87,0663"
São Francisco Pernambucano,12-5,1,98-99,"79,4786"
Sertão Pernambucano,13-5,1,98-99,"67,8073"
Sertão Pernambucano,14-5,1,98-99,"50,5468"
Sertão Pernambucano,15-5,1,98-99,"39,4405"
Sertão Pernambucano,16-5,1,98-99,"30,7285"
Sertão Pernambucano,17-5,1,98-99,"26,3466"
Agreste Pernambucano,18-5,1,98-99,"22,0926"
Agreste Pernambucano,20-5,1,98-99,"21,5911"
Agreste Pernambucano,22-5,1,98-99,"49,9776"
Agreste Pernambucano,23-5,1,98-99,"60,1750"
Mata Pernambucana,24-5,1,98-99,"69,3687"
Metropolitana do Recife,25-5,1,98-99,"77,7674"
Fora do Estado,26-5,1,98-99,"81,4080"
São Francisco Pernambucano,1-6,1,98-99,"76,2399"
São Francisco Pernambucano,2-6,1,98-99,"59,2386"
São Francisco Pernambucano,4-6,1,98-99,"60,4193"
São Francisco Pernambucano,5-6,1,98-99,"63,2049"
São Francisco Pernambucano,7-6,1,98-99,"89,1758"
Fora do Estado,8-6,1,98-99,"89,6709"
São Francisco Pernambucano,9-6,1,98-99,"84,3658"
São Francisco Pernambucano,10-6,1,98-99,"75,5962"
São Francisco Pernambucano,11-6,1,98-99,"71,2480"
São Francisco Pernambucano,12-6,1,98-99,"64,7982"
Sertão Pernambucano,14-6,1,98-99,"45,4745"
Sertão Pernambucano,15-6,1,98-99,"35,3688"
Agreste Pernambucano,16-6,1,98-99,"29,4390"
Agreste Pernambucano,17-6,1,98-99,"27,4584"
Agreste Pernambucano,19-6,1,98-99,"19,9136"
Agreste Pernambucano,20-6,1,98-99,"22,8872"
Mata Pernambucana,23-6,1,98-99,"62,4377"
Mata Pernambucana,24-6,1,98-99,"70,1941"
Fora do Estado,26-6,1,98-99,"79,9903"
Fora do Estado,1-7,1,98-99,"68,8609"
São Francisco Pernambucano,3-7,1,98-99,"53,7489"
São Francisco Pernambucano,5-7,1,98-99,"60,7089"
Fora do Estado,6-7,1,98-99,"75,6115"
Fora do Estado,8-7,1,98-99,"80,1232"
Fora do Estado,9-7,1,98-99,"74,9607"
Fora do Estado,10-7,1,98-99,"67,2341"
São Francisco Pernambucano,11-7,1,98-99,"62,9546"
São Francisco Pernambucano,13-7,1,98-99,"50,3664"
Sertão Pernambucano,14-7,1,98-99,"38,5091"
Sertão Pernambucano,15-7,1,98-99,"31,0266"
Agreste Pernambucano,19-7,1,98-99,"21,5643"
Agreste Pernambucano,20-7,1,98-99,"24,6535"
Agreste Pernambucano,21-7,1,98-99,"31,1686"
Mata Pernambucana,23-7,1,98-99,"61,0533"
Fora do Estado,24-7,1,98-99,"67,9603"
Fora do Estado,25-7,1,98-99,"73,8981"
Fora do Estado,1-8,1,98-99,"81,3237"
Fora do Estado,2-8,1,98-99,"66,5454"
São Francisco Pernambucano,3-8,1,98-99,"64,7116"
São Francisco Pernambucano,4-8,1,98-99,"66,8062"
Fora do Estado,5-8,1,98-99,"70,8717"
Fora do Estado,6-8,1,98-99,"65,8381"
Fora do Estado,7-8,1,98-99,"67,4829"
Fora do Estado,8-8,1,98-99,"65,8152"
Fora do Estado,9-8,1,98-99,"64,0930"
Fora do Estado,10-8,1,98-99,"61,8634"
Fora do Estado,11-8,1,98-99,"58,8428"
Fora do Estado,12-8,1,98-99,"53,6258"
Fora do Estado,14-8,1,98-99,"35,3704"
Fora do Estado,15-8,1,98-99,"28,7405"
Agreste Pernambucano,20-8,1,98-99,"28,7150"
Fora do Estado,21-8,1,98-99,"35,3007"
Fora do Estado,23-8,1,98-99,"56,0378"
Fora do Estado,24-8,1,98-99,"62,6377"
Fora do Estado,25-8,1,98-99,"66,9442"
Fora do Estado,26-8,1,98-99,"16,7100"
Fora do Estado,1-9,1,98-99,"71,7229"
Fora do Estado,2-9,1,98-99,"57,7996"
São Francisco Pernambucano,3-9,1,98-99,"57,1938"
Fora do Estado,7-9,1,98-99,"60,1456"
Fora do Estado,8-9,1,98-99,"57,4134"
Fora do Estado,11-9,1,98-99,"51,4426"
Fora do Estado,13-9,1,98-99,"40,9071"
Fora do Estado,14-9,1,98-99,"30,6592"
Fora do Estado,15-9,1,98-99,"26,3895"
Fora do Estado,18-9,1,98-99,"27,0186"
Fora do Estado,19-9,1,98-99,"27,6372"
Fora do Estado,20-9,1,98-99,"31,0898"
Fora do Estado,21-9,1,98-99,"36,3043"
Fora do Estado,23-9,1,98-99,"54,8996"
Fora do Estado,24-9,1,98-99,"60,0276"
Fora do Estado,25-9,1,98-99,"63,5371"
Fora do Estado,26-9,1,98-99,"10,6200"
Fora do Estado,3-1,1,98-99,"112,4320"
Sertão Pernambucano,4-1,1,98-99,"112,3583"
Agreste Pernambucano,20-3,1,98-99,"11,9997"
Fora do Estado,19-2,1,98-99,"12,3037"
Fora do Estado,19-3,1,98-99,"12,1813"
Agreste Pernambucano,19-4,1,98-99,"19,1049"
Agreste Pernambucano,19-5,1,98-99,"18,9614"
São Francisco Pernambucano,4-9,1,98-99,"58,9120"
Fora do Estado,5-9,1,98-99,"58,5446"
Fora do Estado,6-9,1,98-99,"58,7677"
Fora do Estado,9-9,1,98-99,"55,6084"
Fora do Estado,10-9,1,98-99,"55,6474"
Agreste Pernambucano,17-7,1,98-99,"24,9892"
Fora do Estado,16-8,1,98-99,"25,1276"
Fora do Estado,16-9,1,98-99,"24,8079"
Agreste Pernambucano,16-7,1,98-99,"26,4619"
Agreste Pernambucano,19-8,1,98-99,"25,6961"
Agreste Pernambucano,18-8,1,98-99,"26,0379"
Agreste Pernambucano,17-8,1,98-99,"25,6678"
Fora do Estado,17-9,1,98-99,"25,8108"
Agreste Pernambucano,18-6,1,98-99,"23,3241"
Agreste Pernambucano,18-7,1,98-99,"23,0727"
Agreste Pernambucano,21-5,1,98-99,"29,5247"
Agreste Pernambucano,21-6,1,98-99,"30,4011"
Agreste Pernambucano,22-6,1,98-99,"51,8420"
Fora do Estado,22-7,1,98-99,"51,5545"
Fora do Estado,22-8,1,98-99,"48,3647"
Fora do Estado,22-9,1,98-99,"48,2449"
Fora do Estado,2-2,1,98-99,"114,5944"
Fora do Estado,1-3,1,98-99,"114,7180"
Sertão Pernambucano,5-3,1,98-99,"108,1969"
Sertão Pernambucano,6-4,1,98-99,"107,8991"
São Francisco Pernambucano,3-6,1,98-99,"57,9678"
São Francisco Pernambucano,6-6,1,98-99,"81,2011"
São Francisco Pernambucano,13-6,1,98-99,"58,0304"
Mata Pernambucana,25-6,1,98-99,"77,1740"
São Francisco Pernambucano,4-7,1,98-99,"58,4187"
São Francisco Pernambucano,2-7,1,98-99,"57,6906"
Fora do Estado,7-7,1,98-99,"80,8388"
São Francisco Pernambucano,12-7,1,98-99,"57,5249"
Fora do Estado,26-7,1,98-99,"76,5395"
São Francisco Pernambucano,13-8,1,98-99,"46,3085"
Fora do Estado,12-9,1,98-99,"46,1114"
Fora do Estado,1-1,2,98-99,"92,2778"
Fora do Estado,2-1,2,98-99,"87,1514"
Fora do Estado,5-1,2,98-99,"87,1467"
Sertão Pernambucano,6-1,2,98-99,"92,5223"
Fora do Estado,7-1,2,98-99,"97,6168"
Fora do Estado,8-1,2,98-99,"99,8405"
Fora do Estado,9-1,2,98-99,"91,2023"
Fora do Estado,10-1,2,98-99,"80,8779"
Fora do Estado,11-1,2,98-99,"73,5551"
Fora do Estado,12-1,2,98-99,"70,4989"
Fora do Estado,13-1,2,98-99,"68,5350"
Fora do Estado,14-1,2,98-99,"78,4929"
Fora do Estado,15-1,2,98-99,"74,8908"
Sertão Pernambucano,16-1,2,98-99,"69,1714"
Sertão Pernambucano,17-1,2,98-99,"53,1944"
Fora do Estado,18-1,2,98-99,"18,6900"
Fora do Estado,19-1,2,98-99,"10,8371"
Fora do Estado,20-1,2,98-99,"7,3493"
Fora do Estado,21-1,2,98-99,"7,6611"
Fora do Estado,22-1,2,98-99,"8,0011"
Fora do Estado,23-1,2,98-99,"7,9201"
Fora do Estado,24-1,2,98-99,"9,1206"
Fora do Estado,25-1,2,98-99,"11,2819"
Fora do Estado,26-1,2,98-99,"21,1770"
Fora do Estado,1-2,2,98-99,"91,5137"
Sertão Pernambucano,3-2,2,98-99,"84,6606"
Sertão Pernambucano,4-2,2,98-99,"84,0755"
Sertão Pernambucano,5-2,2,98-99,"87,2921"
Sertão Pernambucano,6-2,2,98-99,"92,5101"
Sertão Pernambucano,7-2,2,98-99,"94,4772"
Sertão Pernambucano,8-2,2,98-99,"91,9787"
Fora do Estado,9-2,2,98-99,"86,9124"
Fora do Estado,10-2,2,98-99,"76,4720"
Fora do Estado,11-2,2,98-99,"72,4958"
Fora do Estado,12-2,2,98-99,"67,4798"
Fora do Estado,13-2,2,98-99,"65,0133"
Fora do Estado,14-2,2,98-99,"76,0197"
Sertão Pernambucano,15-2,2,98-99,"74,8469"
Sertão Pernambucano,16-2,2,98-99,"64,9094"
Fora do Estado,17-2,2,98-99,"47,7318"
Fora do Estado,18-2,2,98-99,"16,2778"
Fora do Estado,20-2,2,98-99,"4,9801"
Fora do Estado,21-2,2,98-99,"5,8841"
Fora do Estado,22-2,2,98-99,"6,6773"
Fora do Estado,23-2,2,98-99,"7,8644"
Mata Pernambucana,24-2,2,98-99,"9,3081"
Mata Pernambucana,25-2,2,98-99,"12,7150"
Mata Pernambucana,26-2,2,98-99,"25,0837"
Fora do Estado,2-3,2,98-99,"88,7919"
Fora do Estado,3-3,2,98-99,"81,3759"
Sertão Pernambucano,4-3,2,98-99,"77,3042"
Sertão Pernambucano,6-3,2,98-99,"85,4985"
Sertão Pernambucano,7-3,2,98-99,"90,8771"
Sertão Pernambucano,8-3,2,98-99,"85,6008"
Sertão Pernambucano,9-3,2,98-99,"79,0929"
Sertão Pernambucano,10-3,2,98-99,"71,0686"
Sertão Pernambucano,11-3,2,98-99,"63,5358"
Sertão Pernambucano,12-3,2,98-99,"58,4730"
Sertão Pernambucano,13-3,2,98-99,"57,2396"
Sertão Pernambucano,14-3,2,98-99,"65,1154"
Sertão Pernambucano,15-3,2,98-99,"63,5307"
Sertão Pernambucano,16-3,2,98-99,"52,9058"
Fora do Estado,17-3,2,98-99,"39,0933"
Fora do Estado,18-3,2,98-99,"12,2575"
Agreste Pernambucano,21-3,2,98-99,"6,3907"
Agreste Pernambucano,22-3,2,98-99,"8,2488"
Agreste Pernambucano,23-3,2,98-99,"9,7301"
Agreste Pernambucano,24-3,2,98-99,"12,5020"
Mata Pernambucana,25-3,2,98-99,"16,9480"
Metropolitana do Recife,26-3,2,98-99,"33,4584"
Fora do Estado,1-4,2,98-99,"101,4314"
Fora do Estado,2-4,2,98-99,"79,9818"
Fora do Estado,3-4,2,98-99,"69,1653"
Sertão Pernambucano,4-4,2,98-99,"65,5525"
Sertão Pernambucano,5-4,2,98-99,"66,6308"
Sertão Pernambucano,7-4,2,98-99,"86,9377"
São Francisco Pernambucano,8-4,2,98-99,"79,8895"
Sertão Pernambucano,9-4,2,98-99,"72,9445"
Sertão Pernambucano,10-4,2,98-99,"57,7222"
Sertão Pernambucano,11-4,2,98-99,"52,9856"
Sertão Pernambucano,12-4,2,98-99,"45,2715"
Sertão Pernambucano,13-4,2,98-99,"41,9098"
Sertão Pernambucano,14-4,2,98-99,"37,0385"
Sertão Pernambucano,15-4,2,98-99,"35,2047"
Sertão Pernambucano,16-4,2,98-99,"30,7345"
Fora do Estado,17-4,2,98-99,"21,6958"
Fora do Estado,18-4,2,98-99,"6,1395"
Agreste Pernambucano,20-4,2,98-99,"3,5792"
Agreste Pernambucano,21-4,2,98-99,"4,1654"
Agreste Pernambucano,22-4,2,98-99,"16,4398"
Agreste Pernambucano,23-4,2,98-99,"20,3173"
Mata Pernambucana,24-4,2,98-99,"27,1313"
Metropolitana do Recife,25-4,2,98-99,"36,4098"
Fora do Estado,26-4,2,98-99,"54,9819"
Fora do Estado,1-5,2,98-99,"98,9043"
São Francisco Pernambucano,2-5,2,98-99,"78,4770"
São Francisco Pernambucano,3-5,2,98-99,"68,9036"
Sertão Pernambucano,4-5,2,98-99,"64,2955"
São Francisco Pernambucano,5-5,2,98-99,"61,1743"
São Francisco Pernambucano,6-5,2,98-99,"74,2370"
São Francisco Pernambucano,7-5,2,98-99,"75,4937"
São Francisco Pernambucano,8-5,2,98-99,"72,2411"
São Francisco Pernambucano,9-5,2,98-99,"67,3993"
São Francisco Pernambucano,10-5,2,98-99,"55,6376"
São Francisco Pernambucano,11-5,2,98-99,"43,3824"
São Francisco Pernambucano,12-5,2,98-99,"36,7184"
Sertão Pernambucano,13-5,2,98-99,"32,2967"
Sertão Pernambucano,14-5,2,98-99,"27,9224"
Sertão Pernambucano,15-5,2,98-99,"25,4366"
Sertão Pernambucano,16-5,2,98-99,"22,2876"
Sertão Pernambucano,17-5,2,98-99,"16,6973"
Agreste Pernambucano,18-5,2,98-99,"5,2247"
Agreste Pernambucano,20-5,2,98-99,"3,4493"
Agreste Pernambucano,22-5,2,98-99,"18,6652"
Agreste Pernambucano,23-5,2,98-99,"24,3179"
Mata Pernambucana,24-5,2,98-99,"33,3929"
Metropolitana do Recife,25-5,2,98-99,"43,7411"
Fora do Estado,26-5,2,98-99,"65,5734"
São Francisco Pernambucano,1-6,2,98-99,"85,8105"
São Francisco Pernambucano,2-6,2,98-99,"66,1443"
São Francisco Pernambucano,4-6,2,98-99,"55,9679"
São Francisco Pernambucano,5-6,2,98-99,"56,4715"
São Francisco Pernambucano,7-6,2,98-99,"67,6781"
Fora do Estado,8-6,2,98-99,"65,9388"
São Francisco Pernambucano,9-6,2,98-99,"59,5196"
São Francisco Pernambucano,10-6,2,98-99,"40,3320"
São Francisco Pernambucano,11-6,2,98-99,"32,5928"
São Francisco Pernambucano,12-6,2,98-99,"28,2458"
Sertão Pernambucano,14-6,2,98-99,"22,3045"
Sertão Pernambucano,15-6,2,98-99,"19,8573"
Agreste Pernambucano,16-6,2,98-99,"17,1872"
Agreste Pernambucano,17-6,2,98-99,"14,6056"
Agreste Pernambucano,19-6,2,98-99,"3,9629"
Agreste Pernambucano,20-6,2,98-99,"4,4646"
Mata Pernambucana,23-6,2,98-99,"26,8494"
Mata Pernambucana,24-6,2,98-99,"35,6777"
Fora do Estado,26-6,2,98-99,"68,1300"
Fora do Estado,1-7,2,98-99,"71,1048"
São Francisco Pernambucano,3-7,2,98-99,"56,0215"
São Francisco Pernambucano,5-7,2,98-99,"49,1092"
Fora do Estado,6-7,2,98-99,"56,0038"
Fora do Estado,8-7,2,98-99,"59,8339"
Fora do Estado,9-7,2,98-99,"51,3106"
Fora do Estado,10-7,2,98-99,"33,8960"
São Francisco Pernambucano,11-7,2,98-99,"27,1735"
São Francisco Pernambucano,13-7,2,98-99,"21,7676"
Sertão Pernambucano,14-7,2,98-99,"18,7883"
Sertão Pernambucano,15-7,2,98-99,"16,9440"
Agreste Pernambucano,19-7,2,98-99,"5,6994"
Agreste Pernambucano,20-7,2,98-99,"5,0507"
Agreste Pernambucano,21-7,2,98-99,"6,0211"
Mata Pernambucana,23-7,2,98-99,"28,0826"
Fora do Estado,24-7,2,98-99,"35,7685"
Fora do Estado,25-7,2,98-99,"45,2921"
Fora do Estado,1-8,2,98-99,"30,8217"
Fora do Estado,2-8,2,98-99,"39,0298"
São Francisco Pernambucano,3-8,2,98-99,"38,1682"
São Francisco Pernambucano,4-8,2,98-99,"34,5865"
Fora do Estado,5-8,2,98-99,"34,4705"
Fora do Estado,6-8,2,98-99,"37,9491"
Fora do Estado,7-8,2,98-99,"39,7774"
Fora do Estado,8-8,2,98-99,"37,7688"
Fora do Estado,9-8,2,98-99,"31,6472"
Fora do Estado,10-8,2,98-99,"23,7218"
Fora do Estado,11-8,2,98-99,"19,5246"
Fora do Estado,12-8,2,98-99,"16,6613"
Fora do Estado,14-8,2,98-99,"14,5591"
Fora do Estado,15-8,2,98-99,"13,7971"
Agreste Pernambucano,20-8,2,98-99,"13,4215"
Fora do Estado,21-8,2,98-99,"19,2707"
Fora do Estado,23-8,2,98-99,"31,2290"
Fora do Estado,24-8,2,98-99,"36,5948"
Fora do Estado,25-8,2,98-99,"44,4224"
Fora do Estado,26-8,2,98-99,"20,5800"
Fora do Estado,1-9,2,98-99,"21,8266"
Fora do Estado,2-9,2,98-99,"28,4944"
São Francisco Pernambucano,3-9,2,98-99,"28,7349"
Fora do Estado,7-9,2,98-99,"31,3749"
Fora do Estado,8-9,2,98-99,"29,0113"
Fora do Estado,11-9,2,98-99,"15,3034"
Fora do Estado,13-9,2,98-99,"12,2454"
Fora do Estado,14-9,2,98-99,"11,8803"
Fora do Estado,15-9,2,98-99,"10,7208"
Fora do Estado,18-9,2,98-99,"12,8381"
Fora do Estado,19-9,2,98-99,"12,9108"
Fora do Estado,20-9,2,98-99,"15,3383"
Fora do Estado,21-9,2,98-99,"19,5449"
Fora do Estado,23-9,2,98-99,"31,6948"
Fora do Estado,24-9,2,98-99,"36,5505"
Fora do Estado,25-9,2,98-99,"40,8681"
Fora do Estado,26-9,2,98-99,"16,9800"
Fora do Estado,3-1,2,98-99,"82,4084"
Sertão Pernambucano,4-1,2,98-99,"81,8130"
Agreste Pernambucano,20-3,2,98-99,"4,9572"
Fora do Estado,19-2,2,98-99,"8,3639"
Fora do Estado,19-3,2,98-99,"7,5952"
Agreste Pernambucano,19-4,2,98-99,"4,6633"
Agreste Pernambucano,19-5,2,98-99,"3,2152"
São Francisco Pernambucano,4-9,2,98-99,"29,2845"
Fora do Estado,5-9,2,98-99,"29,1022"
Fora do Estado,6-9,2,98-99,"31,4609"
Fora do Estado,9-9,2,98-99,"24,8013"
Fora do Estado,10-9,2,98-99,"18,7747"
Agreste Pernambucano,17-7,2,98-99,"13,2822"
Fora do Estado,16-8,2,98-99,"11,9916"
Fora do Estado,16-9,2,98-99,"10,2822"
Agreste Pernambucano,16-7,2,98-99,"15,5918"
Agreste Pernambucano,19-8,2,98-99,"12,0303"
Agreste Pernambucano,18-8,2,98-99,"13,2580"
Agreste Pernambucano,17-8,2,98-99,"11,0959"
Fora do Estado,17-9,2,98-99,"10,7496"
Agreste Pernambucano,18-6,2,98-99,"5,5194"
Agreste Pernambucano,18-7,2,98-99,"8,7523"
Agreste Pernambucano,21-5,2,98-99,"4,5068"
Agreste Pernambucano,21-6,2,98-99,"5,0692"
Agreste Pernambucano,22-6,2,98-99,"20,7853"
Fora do Estado,22-7,2,98-99,"22,7655"
Fora do Estado,22-8,2,98-99,"25,7599"
Fora do Estado,22-9,2,98-99,"27,5351"
Fora do Estado,2-2,2,98-99,"90,1941"
Fora do Estado,1-3,2,98-99,"87,9531"
Sertão Pernambucano,5-3,2,98-99,"79,5449"
Sertão Pernambucano,6-4,2,98-99,"83,3680"
São Francisco Pernambucano,3-6,2,98-99,"60,2830"
São Francisco Pernambucano,6-6,2,98-99,"66,1994"
São Francisco Pernambucano,13-6,2,98-99,"27,1214"
Mata Pernambucana,25-6,2,98-99,"47,1176"
São Francisco Pernambucano,4-7,2,98-99,"49,4256"
São Francisco Pernambucano,2-7,2,98-99,"56,5876"
Fora do Estado,7-7,2,98-99,"57,9730"
São Francisco Pernambucano,12-7,2,98-99,"23,3124"
Fora do Estado,26-7,2,98-99,"62,9309"
São Francisco Pernambucano,13-8,2,98-99,"15,2346"
Fora do Estado,12-9,2,98-99,"13,1146"
Fora do Estado,1-1,3,98-99,"118,5756"
Fora do Estado,2-1,3,98-99,"119,5707"
Fora do Estado,5-1,3,98-99,"109,7802"
Sertão Pernambucano,6-1,3,98-99,"93,2298"
Fora do Estado,7-1,3,98-99,"89,6380"
Fora do Estado,8-1,3,98-99,"88,5205"
Fora do Estado,9-1,3,98-99,"93,9360"
Fora do Estado,10-1,3,98-99,"104,9897"
Fora do Estado,11-1,3,98-99,"102,8976"
Fora do Estado,12-1,3,98-99,"102,3047"
Fora do Estado,13-1,3,98-99,"101,9570"
Fora do Estado,14-1,3,98-99,"99,5030"
Fora do Estado,15-1,3,98-99,"95,4433"
Sertão Pernambucano,16-1,3,98-99,"91,7473"
Sertão Pernambucano,17-1,3,98-99,"82,7923"
Fora do Estado,18-1,3,98-99,"60,9905"
Fora do Estado,19-1,3,98-99,"52,0664"
Fora do Estado,20-1,3,98-99,"47,1252"
Fora do Estado,21-1,3,98-99,"47,1624"
Fora do Estado,22-1,3,98-99,"46,6629"
Fora do Estado,23-1,3,98-99,"44,5300"
Fora do Estado,24-1,3,98-99,"45,8225"
Fora do Estado,25-1,3,98-99,"46,5118"
Fora do Estado,26-1,3,98-99,"50,7496"
Fora do Estado,1-2,3,98-99,"103,8788"
Sertão Pernambucano,3-2,3,98-99,"104,7314"
Sertão Pernambucano,4-2,3,98-99,"98,4990"
Sertão Pernambucano,5-2,3,98-99,"91,7254"
Sertão Pernambucano,6-2,3,98-99,"77,3524"
Sertão Pernambucano,7-2,3,98-99,"70,5167"
Sertão Pernambucano,8-2,3,98-99,"71,0001"
Fora do Estado,9-2,3,98-99,"72,9081"
Fora do Estado,10-2,3,98-99,"85,3515"
Fora do Estado,11-2,3,98-99,"84,8053"
Fora do Estado,12-2,3,98-99,"85,0981"
Fora do Estado,13-2,3,98-99,"85,7109"
Fora do Estado,14-2,3,98-99,"89,4952"
Sertão Pernambucano,15-2,3,98-99,"87,7354"
Sertão Pernambucano,16-2,3,98-99,"80,5432"
Fora do Estado,17-2,3,98-99,"73,1259"
Fora do Estado,18-2,3,98-99,"55,4792"
Fora do Estado,20-2,3,98-99,"41,8774"
Fora do Estado,21-2,3,98-99,"43,5969"
Fora do Estado,22-2,3,98-99,"43,2229"
Fora do Estado,23-2,3,98-99,"44,2134"
Mata Pernambucana,24-2,3,98-99,"45,9292"
Mata Pernambucana,25-2,3,98-99,"47,5956"
Mata Pernambucana,26-2,3,98-99,"53,1648"
Fora do Estado,2-3,3,98-99,"90,8226"
Fora do Estado,3-3,3,98-99,"86,8998"
Sertão Pernambucano,4-3,3,98-99,"85,8674"
Sertão Pernambucano,6-3,3,98-99,"63,7126"
Sertão Pernambucano,7-3,3,98-99,"58,9492"
Sertão Pernambucano,8-3,3,98-99,"58,2635"
Sertão Pernambucano,9-3,3,98-99,"59,9592"
